size_sqft,bedrooms,bathrooms,location,property_age,has_parking,distance_to_metro_km,price
937,3,3,Delhi,11,0,5.61,49.17
888,3,1,Bangalore,15,0,0.48,48.41
1077,3,3,Mumbai,5,1,0.34,98.61
1829,2,2,Delhi,14,0,1.09,108.91
1858,4,2,Mumbai,9,0,7.04,144.88
1296,4,2,Bangalore,9,0,2.73,70.13
2600,2,1,Delhi,10,0,2.55,153.01
2406,1,3,Mumbai,15,0,4.12,165.23
2219,1,3,Mumbai,17,0,2.08,160.61
1528,2,4,Delhi,5,0,5.44,90.95
2468,2,1,Mumbai,8,1,8.03,178.62
1644,3,3,Bangalore,16,1,8.71,76.04
2215,2,4,Mumbai,13,1,7.26,155.86
1025,3,4,Mumbai,6,0,8.97,84.81
2406,1,3,Bangalore,9,0,3.36,119.36
1754,2,2,Bangalore,16,0,6.02,81.95
2656,2,3,Mumbai,1,0,7.51,196.7
2972,5,2,Delhi,1,0,3.69,187.42
1812,5,2,Bangalore,5,1,2.61,104.82
2897,1,3,Mumbai,18,0,4.22,206.9
503,1,2,Delhi,18,1,9.31,14.79
1346,3,4,Delhi,18,0,7.74,66.33
2310,4,1,Bangalore,11,0,7.13,106.29
1153,5,2,Mumbai,3,0,5.42,91.1
509,5,3,Delhi,11,1,3.36,37.96
2119,1,3,Bangalore,8,0,1.34,114.89
1618,1,1,Delhi,11,1,1.42,94.43
875,3,1,Delhi,11,0,0.85,57.17
2355,5,4,Mumbai,8,0,2.18,192.26
1814,5,1,Bangalore,18,0,6.41,85.71
1565,1,2,Mumbai,7,1,9.02,111.39
2969,1,3,Mumbai,14,0,2.48,213.76
2497,5,4,Mumbai,6,0,4.43,196.75
2938,3,4,Delhi,19,0,8.81,171.09
1422,4,1,Delhi,0,0,2.64,93.2
1450,1,2,Delhi,1,1,5.04,84.91
2432,4,1,Mumbai,7,0,4.97,184.75
2871,4,1,Delhi,18,0,5.74,170.24
2183,3,2,Delhi,7,1,2.43,145.67
2570,2,2,Mumbai,11,1,5.95,201.55
2139,4,3,Bangalore,4,1,6.58,112.73
1103,2,1,Delhi,18,0,1.22,59.7
2145,4,2,Mumbai,0,0,3.25,165.65
2918,5,3,Bangalore,8,1,8.07,154.06
2622,2,3,Delhi,1,0,4.63,144.27
1438,3,4,Mumbai,18,1,1.93,96.47
2379,1,1,Bangalore,10,1,2.36,118.14
1992,1,3,Bangalore,19,0,1.66,86.61
2224,1,3,Bangalore,12,1,7.55,101.05
1451,3,2,Delhi,16,0,3.9,83.73
1268,3,3,Delhi,1,1,4.52,88.63
2661,3,3,Bangalore,7,0,0.94,133.0
2401,2,4,Bangalore,17,0,6.66,112.17
1332,1,3,Mumbai,7,1,3.52,103.93
1787,2,3,Delhi,13,0,9.63,93.14
2023,5,2,Bangalore,13,0,3.38,105.73
2698,5,3,Bangalore,18,1,6.5,132.57
581,2,1,Mumbai,4,1,3.49,45.05
895,4,1,Bangalore,5,1,5.61,56.28
1576,4,3,Delhi,11,1,1.32,105.5
627,1,2,Mumbai,16,1,7.47,36.01
736,1,3,Bangalore,10,1,9.85,18.58
1304,3,2,Delhi,9,1,5.08,80.62
2581,1,1,Bangalore,5,1,7.26,119.17
1230,2,4,Bangalore,6,1,9.16,51.21
1201,2,2,Delhi,10,0,1.01,64.37
648,3,4,Mumbai,3,0,7.27,48.1
1750,2,3,Mumbai,4,1,2.31,133.91
864,3,2,Bangalore,1,0,3.57,46.96
2843,1,1,Bangalore,10,1,4.46,142.0
1752,4,4,Mumbai,5,1,1.21,141.27
2136,4,3,Mumbai,16,0,7.94,153.38
511,3,4,Mumbai,16,0,7.3,38.1
1209,1,2,Bangalore,11,0,6.99,48.19
1277,1,3,Delhi,6,1,1.38,77.64
636,3,4,Delhi,17,0,8.65,23.36
1114,1,2,Mumbai,2,1,1.38,92.91
1621,3,1,Mumbai,7,1,7.3,120.19
1872,1,1,Delhi,0,1,4.38,111.55
1631,2,3,Mumbai,9,1,0.41,128.62
2131,3,3,Mumbai,13,1,0.72,171.57
2532,5,2,Bangalore,11,0,5.89,123.88
1420,4,1,Bangalore,16,0,4.78,60.22
875,2,4,Delhi,4,0,2.92,50.89
1463,4,3,Delhi,4,0,2.74,89.25
1209,3,2,Bangalore,1,0,7.48,56.98
1833,5,3,Bangalore,13,1,0.66,100.86
1324,2,1,Bangalore,2,1,3.63,77.86
2609,1,4,Mumbai,2,1,6.3,190.37
1392,1,1,Delhi,4,1,4.68,75.03
1718,1,2,Delhi,8,0,6.62,88.57
1918,3,2,Mumbai,5,1,7.02,145.05
536,4,4,Bangalore,4,0,8.54,20.84
1824,5,3,Delhi,2,1,6.69,123.92
1812,3,4,Bangalore,15,0,3.47,87.56
2216,2,4,Mumbai,5,1,1.75,170.22
2074,2,4,Delhi,13,0,5.17,112.02
794,2,4,Bangalore,13,0,9.82,17.67
1199,5,3,Delhi,18,1,0.38,86.1
1756,2,3,Mumbai,4,0,7.93,126.4
1230,1,4,Delhi,16,1,4.84,63.42
521,2,4,Mumbai,17,1,9.9,23.79
1262,3,4,Bangalore,11,0,0.84,74.89
2626,3,3,Delhi,1,1,4.79,164.32
2704,3,4,Delhi,14,1,2.45,171.39
2062,3,1,Delhi,11,1,4.44,124.99
583,3,1,Bangalore,2,0,4.21,34.0
1433,2,1,Mumbai,16,0,7.21,88.84
2107,4,2,Bangalore,16,0,7.81,110.46
1090,3,2,Delhi,19,0,6.34,56.37
1026,1,2,Delhi,6,0,6.15,55.88
2375,4,1,Delhi,15,0,1.78,137.7
2933,3,4,Bangalore,16,1,4.75,151.3
2513,2,2,Mumbai,5,1,6.64,188.3
1611,1,1,Bangalore,13,1,0.38,83.83
1833,4,4,Bangalore,9,1,0.3,104.74
2268,5,2,Bangalore,12,1,3.71,111.63
2741,2,2,Delhi,17,0,2.16,165.72
2425,1,2,Bangalore,6,0,5.5,117.62
1215,2,4,Delhi,19,1,6.2,75.68
707,4,2,Delhi,2,0,5.36,44.35
1373,3,2,Delhi,11,0,6.57,87.87
1249,4,1,Bangalore,18,1,5.64,59.87
1161,5,4,Bangalore,2,1,2.16,71.3
2482,1,3,Bangalore,19,0,3.59,113.27
1887,4,4,Delhi,16,0,5.87,116.83
2035,4,2,Mumbai,1,1,4.33,160.34
1254,3,2,Delhi,11,0,6.31,76.16
1293,4,4,Delhi,9,1,3.85,88.19
501,5,1,Delhi,12,0,2.62,34.35
1003,1,4,Delhi,6,1,6.59,60.61
2540,4,2,Mumbai,4,0,3.39,193.08
800,3,2,Mumbai,13,1,5.29,61.3
2301,4,2,Bangalore,0,0,2.64,130.59
1075,4,4,Bangalore,10,0,3.7,59.45
2712,1,1,Mumbai,14,1,2.22,199.44
1468,5,4,Delhi,0,0,2.4,96.73
1582,5,1,Bangalore,18,1,6.94,77.29
1774,3,2,Delhi,17,0,8.71,81.6
1746,3,2,Mumbai,11,1,1.57,132.4
874,2,1,Bangalore,7,0,4.55,42.6
1016,2,1,Mumbai,10,1,0.37,84.99
802,1,4,Mumbai,7,0,6.96,46.63
1810,5,4,Bangalore,8,1,3.62,102.78
1074,1,1,Bangalore,15,0,7.87,31.84
988,3,4,Delhi,5,1,9.27,61.38
2944,1,3,Mumbai,12,0,3.88,211.29
1321,1,1,Mumbai,0,1,6.18,87.71
1996,1,1,Bangalore,2,1,0.34,111.65
1461,1,3,Bangalore,7,1,8.5,56.65
2263,3,4,Mumbai,5,1,7.24,171.22
1390,3,1,Bangalore,10,0,8.99,54.08
823,5,1,Delhi,18,1,1.83,65.29
1463,5,4,Delhi,14,1,5.48,97.15
2181,2,1,Bangalore,3,1,1.39,108.61
1786,4,2,Mumbai,12,0,7.15,130.03
2845,4,4,Delhi,6,1,5.59,171.63
1899,5,2,Mumbai,12,0,6.45,154.48
1020,2,4,Delhi,9,1,7.75,58.14
1572,2,3,Bangalore,3,1,7.37,79.22
645,3,4,Delhi,0,0,5.95,43.24
2084,3,4,Delhi,0,0,5.45,123.13
2966,4,3,Mumbai,9,0,4.03,219.22
940,1,2,Mumbai,6,0,6.82,50.93
1498,4,2,Mumbai,3,1,3.5,112.73
2835,5,2,Bangalore,0,1,2.08,153.13
2972,4,1,Bangalore,1,1,8.04,149.48
659,5,4,Delhi,7,1,6.87,44.5
841,2,3,Delhi,5,0,9.96,31.33
1994,4,4,Delhi,11,1,9.58,119.46
1516,2,2,Delhi,15,1,3.61,84.44
2431,4,3,Delhi,12,0,4.11,146.06
785,5,4,Delhi,17,1,7.6,51.1
1684,5,4,Delhi,19,1,0.82,108.86
2101,1,1,Delhi,8,0,3.19,118.24
1703,2,4,Delhi,5,0,7.91,102.26
743,2,4,Mumbai,16,1,5.49,59.96
1952,3,2,Delhi,13,1,1.58,125.14
898,5,3,Delhi,1,0,3.59,60.38
2311,2,4,Delhi,1,0,4.9,141.37
1633,5,4,Mumbai,2,0,8.29,116.05
2176,5,2,Bangalore,1,1,1.52,126.3
627,4,1,Mumbai,13,1,4.51,53.41
2351,5,3,Delhi,1,1,3.78,160.61
2453,2,1,Delhi,10,1,0.77,141.95
1579,1,3,Mumbai,8,0,0.93,112.48
2810,4,1,Mumbai,7,0,2.48,219.8
1903,4,1,Delhi,6,1,1.48,125.32
2544,3,3,Mumbai,13,0,7.39,187.16
1009,2,2,Mumbai,5,0,5.91,65.34
1400,1,1,Bangalore,17,0,9.76,52.76
2885,5,1,Bangalore,2,0,5.57,155.88
682,5,2,Delhi,3,1,3.38,53.56
1093,3,1,Bangalore,19,0,4.7,48.52
604,1,4,Bangalore,8,0,8.13,18.04
2576,1,2,Delhi,7,0,8.29,129.47
2747,1,3,Bangalore,12,0,1.24,132.0
2996,5,4,Bangalore,7,0,7.51,155.5
2168,4,1,Delhi,13,1,3.63,138.01
898,3,3,Mumbai,18,0,4.24,67.27
1843,2,2,Mumbai,15,1,9.01,129.15
859,1,1,Delhi,14,1,0.3,47.78
2140,1,1,Delhi,17,1,8.03,111.45
1151,3,4,Delhi,12,0,9.22,70.05
1749,3,2,Mumbai,16,1,6.07,130.18
2188,3,2,Delhi,17,1,2.88,133.51
1185,1,4,Bangalore,2,1,8.2,56.51
538,1,4,Bangalore,14,1,6.43,20.12
1162,4,4,Mumbai,10,0,9.39,88.06
1269,5,1,Mumbai,19,0,9.66,80.2
1567,5,2,Mumbai,4,0,7.49,119.09
1014,3,3,Bangalore,6,1,6.44,48.93
861,2,4,Bangalore,11,0,8.84,32.68
2423,3,4,Delhi,1,0,3.25,152.8
2254,3,2,Bangalore,15,0,5.48,108.9
2781,2,2,Delhi,11,0,0.31,171.03
2278,3,1,Delhi,3,0,4.6,141.27
1543,2,4,Delhi,2,1,4.04,104.93
2952,2,2,Delhi,3,1,7.98,170.9
2820,4,1,Delhi,2,1,1.22,187.04
661,2,3,Mumbai,18,0,6.44,31.95
2758,5,4,Delhi,5,0,7.93,152.22
1239,1,3,Bangalore,17,0,2.36,56.91
975,3,3,Mumbai,12,0,4.33,75.74
2510,4,3,Mumbai,8,1,5.96,195.22
2028,4,1,Delhi,17,0,0.46,125.19
2400,3,1,Mumbai,9,0,4.41,169.04
1080,5,4,Bangalore,19,0,4.46,53.59
2125,4,2,Mumbai,6,1,9.11,161.37
2361,1,2,Delhi,11,1,4.11,137.73
1931,4,2,Delhi,6,0,2.9,124.57
769,2,4,Delhi,9,0,7.81,35.82
2219,3,4,Delhi,10,0,3.59,128.02
1189,1,3,Mumbai,5,0,2.52,87.65
1995,5,2,Delhi,11,1,2.75,138.52
1836,5,2,Bangalore,17,0,6.61,89.85
2438,3,1,Bangalore,11,0,1.99,115.63
2708,2,1,Mumbai,9,0,8.54,196.88
1072,2,4,Delhi,10,0,7.96,66.7
676,1,2,Delhi,13,1,8.5,23.83
2569,1,2,Delhi,1,1,4.24,154.19
1136,4,4,Mumbai,7,1,8.1,83.31
2354,1,4,Mumbai,19,1,3.44,169.6
2401,4,2,Mumbai,7,0,6.66,176.1
2605,4,2,Bangalore,1,0,1.12,136.63
2491,4,1,Delhi,19,0,1.23,155.31
1701,3,3,Bangalore,18,0,2.2,84.28
507,4,4,Bangalore,3,0,6.42,23.98
2467,2,2,Delhi,11,1,3.3,154.98
2934,5,3,Mumbai,17,0,9.84,210.12
1112,4,4,Mumbai,4,1,8.03,84.34
2913,3,4,Bangalore,11,0,5.15,141.03
2410,5,1,Delhi,12,1,1.83,158.12
1625,2,3,Mumbai,4,0,1.11,121.59
726,5,4,Bangalore,8,1,9.2,32.21
1145,3,4,Bangalore,10,1,8.25,43.27
1749,3,4,Delhi,15,0,1.31,101.44
1741,1,1,Mumbai,19,1,3.61,131.74
2826,1,1,Mumbai,14,0,6.41,196.72
1223,5,4,Delhi,1,0,6.93,75.47
1467,3,4,Delhi,14,1,3.73,92.05
1032,3,1,Bangalore,13,1,9.4,46.75
2287,5,3,Delhi,18,0,8.77,132.51
2766,3,3,Delhi,13,1,2.42,165.07
2182,3,4,Bangalore,7,1,0.47,117.38
2250,1,3,Delhi,18,0,7.59,122.06
2031,3,3,Delhi,5,0,5.5,117.48
785,1,4,Bangalore,19,0,8.28,23.61
567,4,4,Delhi,8,0,6.01,40.64
2155,5,2,Bangalore,15,1,4.41,117.9
1992,5,1,Bangalore,2,1,1.33,113.18
2544,1,1,Bangalore,3,0,8.33,117.15
842,4,2,Delhi,14,0,6.1,51.38
2573,4,1,Delhi,7,0,6.39,161.49
631,4,4,Delhi,11,0,9.71,33.51
2015,2,4,Delhi,8,0,2.84,123.17
2436,5,4,Delhi,7,0,2.91,152.22
940,5,1,Bangalore,2,1,4.8,52.36
2212,5,1,Delhi,16,1,0.69,130.53
1659,3,4,Bangalore,6,0,4.5,79.74
2929,1,1,Bangalore,16,0,8.22,122.41
2312,3,3,Mumbai,8,0,5.04,168.84
500,4,3,Bangalore,12,1,6.81,22.52
2452,5,2,Mumbai,4,1,8.66,187.03
1847,1,3,Delhi,4,0,6.04,105.64
1435,4,1,Bangalore,11,1,3.35,75.59
604,2,2,Mumbai,10,0,0.3,53.38
709,3,2,Bangalore,6,1,1.88,50.29
2128,3,4,Delhi,7,1,0.31,141.52
767,3,3,Bangalore,12,0,0.63,41.2
722,1,3,Bangalore,5,1,4.0,30.46
1630,2,4,Mumbai,12,0,5.52,115.28
2389,3,3,Mumbai,8,0,1.17,187.68
2541,3,1,Delhi,3,1,6.95,149.08
506,4,1,Bangalore,0,0,1.71,32.68
1413,4,3,Mumbai,14,0,7.96,94.71
1075,5,4,Delhi,15,1,5.89,69.21
1332,4,1,Bangalore,17,0,2.44,66.58
1056,4,2,Mumbai,13,1,9.27,77.89
1757,3,2,Delhi,14,0,3.03,102.41
2231,2,4,Bangalore,16,0,3.03,106.15
2978,4,1,Bangalore,15,1,5.51,151.05
864,5,3,Mumbai,18,0,3.16,60.16
1939,5,3,Delhi,16,0,3.56,108.1
2127,5,3,Bangalore,14,1,4.99,115.6
2982,5,1,Mumbai,17,1,3.39,229.12
1498,5,4,Bangalore,16,0,5.52,80.82
2546,3,1,Delhi,10,1,5.43,151.81
1476,4,1,Delhi,11,1,1.66,98.97
2694,2,4,Delhi,3,1,5.32,154.09
2446,3,4,Bangalore,18,1,7.31,126.02
2472,3,2,Mumbai,14,0,6.0,177.87
2363,4,1,Bangalore,16,0,3.12,124.42
1339,3,3,Delhi,2,0,0.5,92.02
521,5,2,Mumbai,2,1,5.37,53.97
2867,5,4,Delhi,8,1,7.38,184.18
518,2,4,Delhi,16,1,3.09,30.15
1078,1,4,Bangalore,4,0,0.88,55.91
756,4,3,Delhi,7,0,4.98,48.82
1441,4,2,Mumbai,5,0,3.62,112.68
2515,2,1,Bangalore,18,0,8.72,109.0
1589,1,3,Delhi,9,1,7.13,80.11
1813,3,4,Mumbai,13,1,4.17,133.41
1550,5,3,Bangalore,6,0,5.58,79.1
1804,1,3,Mumbai,9,1,8.25,119.51
2089,4,4,Delhi,13,1,7.2,127.42
1545,4,1,Mumbai,7,1,4.13,125.71
2450,2,2,Delhi,10,0,7.54,133.56
2841,1,3,Delhi,7,0,3.54,164.73
1388,5,4,Mumbai,0,0,2.85,112.44
1318,5,3,Bangalore,5,1,9.38,73.7
2948,2,3,Delhi,0,1,6.4,180.89
1624,1,4,Mumbai,16,1,7.08,107.1
2129,1,1,Mumbai,18,1,9.99,143.67
1523,1,3,Mumbai,15,1,6.42,100.24
726,4,1,Mumbai,8,0,4.28,57.66
1148,1,2,Mumbai,0,1,6.84,85.34
1696,5,2,Bangalore,7,0,1.43,94.85
1321,1,4,Bangalore,10,0,6.74,52.24
2596,2,1,Mumbai,9,1,2.57,198.23
1174,1,3,Mumbai,5,0,9.08,75.34
1383,5,3,Bangalore,3,1,5.29,73.81
2651,4,2,Mumbai,9,0,3.95,205.97
2197,5,2,Mumbai,0,0,5.28,165.66
2051,3,1,Bangalore,6,1,8.5,93.46
956,3,4,Bangalore,7,0,4.1,45.17
988,5,2,Delhi,12,0,0.79,66.2
1741,4,2,Bangalore,4,1,9.92,89.86
777,1,1,Mumbai,11,0,1.58,53.66
525,1,2,Mumbai,12,0,1.64,36.41
1506,4,3,Mumbai,0,0,9.48,116.43
715,4,1,Mumbai,8,1,0.81,61.23
2089,1,2,Delhi,1,0,3.67,132.78
1645,5,2,Bangalore,5,1,9.3,87.21
2849,5,3,Delhi,2,1,8.67,184.78
992,3,4,Bangalore,16,1,9.95,28.8
2105,1,4,Mumbai,15,1,7.17,150.61
2993,1,4,Mumbai,4,0,9.21,209.13
2501,2,2,Mumbai,1,0,9.61,175.8
744,2,2,Mumbai,7,0,8.57,41.8
2129,1,3,Mumbai,16,0,9.61,145.5
2377,5,2,Bangalore,4,1,7.89,129.49
2718,5,4,Delhi,7,1,5.24,161.14
1443,3,2,Bangalore,2,1,6.69,73.32
1166,2,3,Bangalore,6,0,6.43,48.42
2951,5,2,Mumbai,2,0,4.55,232.41
1184,4,1,Bangalore,17,1,8.5,47.75
2292,2,2,Bangalore,19,1,0.47,117.83
2424,2,1,Bangalore,1,1,2.97,130.53
2103,5,4,Mumbai,18,0,5.26,151.81
1199,2,4,Bangalore,13,1,8.27,56.83
583,2,4,Bangalore,7,0,3.1,24.85
974,4,2,Mumbai,2,0,4.71,77.42
1890,3,4,Mumbai,3,1,7.78,147.87
789,1,1,Mumbai,19,0,9.32,36.29
1362,5,2,Bangalore,5,0,7.29,66.75
711,3,4,Mumbai,14,1,9.68,42.86
2034,4,3,Bangalore,4,0,4.34,99.88
1635,3,3,Delhi,15,0,10.0,78.61
1545,5,2,Bangalore,7,0,3.93,90.34
2579,3,2,Mumbai,8,0,9.53,181.61
509,1,1,Mumbai,4,1,7.85,28.16
1604,1,3,Delhi,7,0,7.2,87.63
2414,1,3,Mumbai,6,0,8.64,172.28
2620,5,2,Delhi,19,1,1.74,162.0
1060,4,4,Mumbai,12,0,5.58,76.22
2067,4,2,Bangalore,18,0,8.42,83.89
577,2,1,Delhi,1,0,1.16,38.65
1401,1,1,Bangalore,7,0,4.41,77.55
1976,3,4,Delhi,7,0,9.62,111.73
951,4,3,Delhi,18,0,8.01,46.53
874,3,2,Mumbai,18,0,0.32,63.22
612,4,2,Bangalore,10,0,3.66,32.83
1924,1,1,Bangalore,13,0,0.87,87.88
518,5,3,Delhi,14,0,9.46,29.55
1664,4,2,Mumbai,14,0,2.15,134.18
1259,4,1,Delhi,9,0,9.81,65.85
2765,5,2,Bangalore,1,1,5.57,149.61
1991,1,1,Mumbai,16,1,0.93,149.82
2934,2,2,Bangalore,2,1,6.38,156.49
653,3,3,Mumbai,14,1,0.87,57.12
1449,4,4,Mumbai,19,0,6.56,107.28
1059,1,3,Mumbai,1,0,1.91,84.13
1677,1,2,Bangalore,14,0,7.42,67.65
2313,4,2,Delhi,12,1,6.35,141.64
800,4,3,Bangalore,8,1,9.41,42.5
2593,2,4,Delhi,15,1,1.2,152.81
869,3,2,Delhi,2,1,7.53,53.19
1143,5,3,Bangalore,18,1,2.45,68.61
542,1,1,Delhi,17,1,2.2,34.02
1634,4,3,Mumbai,0,0,0.35,136.59
2846,2,4,Mumbai,17,0,2.31,215.46
2129,2,2,Delhi,18,1,9.34,123.9
2934,2,2,Bangalore,13,1,0.87,153.31
889,3,1,Mumbai,16,1,3.81,65.91
2217,5,1,Delhi,1,0,8.76,139.65
1179,4,2,Mumbai,4,0,0.83,99.36
562,3,2,Bangalore,12,1,5.98,23.12
2635,4,4,Mumbai,0,0,7.19,186.69
2277,1,1,Delhi,5,0,1.77,138.42
2850,4,3,Mumbai,3,0,0.28,225.53
2687,4,3,Delhi,19,1,7.94,159.55
2071,2,1,Delhi,6,1,8.79,117.8
1736,5,1,Delhi,18,0,5.13,104.3
586,1,4,Mumbai,15,0,4.26,31.49
1808,5,3,Bangalore,13,1,2.45,100.79
1161,1,2,Bangalore,10,1,8.93,56.38
1133,2,3,Mumbai,3,1,5.29,79.45
2794,3,2,Mumbai,7,0,5.66,209.56
518,3,2,Mumbai,9,0,2.2,42.7
2420,2,1,Mumbai,12,1,6.14,167.5
1331,5,1,Mumbai,16,0,1.32,108.59
1837,1,3,Bangalore,0,0,6.19,91.11
2718,1,3,Bangalore,2,0,8.88,128.21
1667,1,2,Bangalore,0,0,8.25,69.27
2883,1,3,Mumbai,8,0,4.62,209.96
928,3,3,Bangalore,13,1,6.55,42.59
2982,2,4,Delhi,5,1,1.98,187.77
2663,1,1,Bangalore,17,1,5.23,127.12
2882,4,4,Bangalore,9,0,4.57,145.5
539,3,3,Delhi,3,0,3.82,32.69
2643,3,2,Mumbai,1,1,8.45,206.28
2005,5,4,Mumbai,15,0,5.89,142.1
749,2,1,Bangalore,6,1,5.28,39.58
543,5,3,Mumbai,8,0,8.93,34.02
2948,3,1,Delhi,3,1,5.87,175.41
2205,5,1,Mumbai,15,1,5.97,170.91
2348,5,3,Delhi,11,1,5.17,143.09
1357,2,2,Bangalore,5,0,2.79,74.76
2608,1,2,Bangalore,13,0,6.62,120.04
2314,4,2,Bangalore,19,1,1.68,123.32
891,1,1,Mumbai,5,0,8.82,55.84
2337,2,4,Delhi,13,0,5.24,124.04
954,5,2,Delhi,1,1,2.64,69.24
2574,4,4,Mumbai,9,0,9.98,186.21
2198,5,1,Bangalore,2,1,8.94,114.01
2546,4,4,Bangalore,2,1,0.34,148.29
1419,2,1,Mumbai,14,1,6.27,111.08
2685,3,1,Bangalore,18,0,6.83,129.12
1072,3,1,Mumbai,10,1,3.84,91.22
1400,3,1,Delhi,3,1,8.08,91.14
2444,3,4,Mumbai,17,0,6.84,176.33
2824,4,1,Mumbai,8,0,7.03,208.45
1500,2,2,Mumbai,0,1,8.14,104.61
905,2,3,Bangalore,13,1,0.79,46.62
933,1,3,Mumbai,10,0,8.41,50.46
1617,5,1,Delhi,4,0,2.91,120.96
2110,4,4,Mumbai,19,1,0.85,165.3
2887,4,3,Delhi,10,0,5.12,172.01
1454,3,1,Mumbai,8,0,2.17,114.24
1730,5,2,Delhi,19,1,0.86,107.9
2154,4,1,Bangalore,9,1,3.2,122.57
1594,4,2,Delhi,19,1,2.83,100.18
1405,4,3,Bangalore,19,0,9.86,60.68
1616,4,2,Mumbai,16,1,6.81,113.9
535,5,2,Delhi,3,0,7.81,31.44
530,3,4,Delhi,4,1,5.89,33.57
1947,3,4,Delhi,16,0,4.7,115.35
2653,5,4,Delhi,8,1,7.31,161.47
1187,2,3,Bangalore,14,1,3.28,64.55
2940,4,2,Mumbai,17,0,7.47,213.48
946,4,4,Delhi,18,1,3.74,57.78
1962,4,3,Bangalore,7,0,8.92,98.49
2532,5,2,Mumbai,12,0,5.23,189.74
